"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","epochs","gamma","grad_clip_norm","lr","momentum","seed","stage","step_size","weight_decay","box_loss_weight","box_nms_thresh","cls_loss_weight","detections_per_img","final_epochs","final_seed","roi_batch_size_per_image","roi_positive_fraction","rpn_batch_size_per_image","rpn_bg_iou_thresh","rpn_fg_iou_thresh","rpn_nms_thresh","rpn_positive_fraction","rpn_post_nms_topk","rpn_pre_nms_topk","score_thresh","best_val_mAP","epoch","epoch_time_s","loss","loss_box_reg","loss_classifier","loss_objectness","loss_rpn_box_reg","pruned","val_AP50","val_AP75","val_mAP","drone_AP50","drone_AP75","drone_mAP"
"drone_eval_tuned_seed11","finished","-","","","2026-03-14T16:25:26.000Z","337","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0"
"drone_eval_baseline","finished","-","","","2026-03-14T16:19:57.000Z","328","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0"
"final_train_seed_33","finished","-","","","2026-03-14T03:00:34.000Z","13440","","","3","","2.5919641029876854","0.00006829352954261399","0.8609901026988318","2621","","","0.0000687491841689458","1.86668360234047","0.5895791591945723","1.4996969788547254","249","12","33","386","0.17617821027852887","317","0.28100948788550334","0.6049307638099946","0.6476916249037943","0.7364361649344031","1642","1176","0.06890786878770465","","11","","0.552623277822975","0.29704873593733644","0.1927391652173828","0.01755330365987561","0.04528207310203834","","0.1516473938510701","0.11404512504034704","0.10215961982438712","","",""
"final_train_seed_22","finished","-","","","2026-03-13T23:15:12.000Z","13521","","","3","","2.5919641029876854","0.00006829352954261399","0.8609901026988318","2621","","","0.0000687491841689458","1.86668360234047","0.5895791591945723","1.4996969788547254","249","12","22","386","0.17617821027852887","317","0.28100948788550334","0.6049307638099946","0.6476916249037943","0.7364361649344031","1642","1176","0.06890786878770465","","11","","0.5531234224983491","0.2972982047430705","0.19290650014963467","0.017617413986874452","0.04530130444099996","","0.15188083275959352","0.11397519884089127","0.10217539146844476","","",""
"final_train_seed_11","finished","-","","","2026-03-13T19:28:27.000Z","13604","","","3","","2.5919641029876854","0.00006829352954261399","0.8609901026988318","2621","","","0.0000687491841689458","1.86668360234047","0.5895791591945723","1.4996969788547254","249","12","11","386","0.17617821027852887","317","0.28100948788550334","0.6049307638099946","0.6476916249037943","0.7364361649344031","1642","1176","0.06890786878770465","","11","","0.5524836337552406","0.2968377909760457","0.19276213970710523","0.017626665114623394","0.04525703803482611","","0.15176032993643662","0.11464219072828104","0.10253496578924112","","",""
"optuna_stage4_trial_0002","finished","-","","","2026-03-13T19:25:38.000Z","111","","","","","","","","","stage4_post","","","","0.5895791591945723","","249","","","","","","","","","","","","0.06890786878770465","","","","","","","","","","0.1505918649024281","0.11507711821549972","0.10244568513118658","","",""
"optuna_stage4_trial_0001","finished","-","","","2026-03-13T19:23:47.000Z","110","","","","","","","","","stage4_post","","","","0.45842584635373096","","248","","","","","","","","","","","","0.05791315838742765","","","","","","","","","","0.1520190357295399","0.11407765699533089","0.10210464006407108","","",""
"optuna_stage4_trial_0000","finished","-","","","2026-03-13T19:21:57.000Z","109","","","","","","","","","stage4_post","","","","0.3709871939526804","","167","","","","","","","","","","","","0.07615443151280629","","","","","","","","","","0.15097430935732534","0.1135228953461194","0.10127797304842669","","",""
"final_train_seed_2026","finished","-","","","2026-03-13T15:35:29.000Z","13570","","","3","","2.5919641029876854","0.00006829352954261399","0.8609901026988318","2621","","","0.0000687491841689458","1.86668360234047","","1.4996969788547254","","12","2026","386","0.17617821027852887","317","0.28100948788550334","0.6049307638099946","0.6476916249037943","0.7364361649344031","1642","1176","","","11","","0.5528120678844861","0.29724762694444506","0.192865901893354","0.01744006647134438","0.04525847329029784","","0.1518818982448081","0.11428987658240196","0.10231976358274084","","",""
"optuna_stage3_trial_0002","finished","-","","","2026-03-13T14:03:04.000Z","4514","","","4","","2.5919641029876854","0.00006829352954261399","0.8609901026988318","1622","stage3_roi","","0.0000687491841689458","0.8981755074802908","","1.550447630074169","","","","478","0.22974316142422355","317","0.28100948788550334","0.6049307638099946","0.6476916249037943","0.7364361649344031","1642","1176","","0.10295419359407368","3","","0.42489392960770056","0.14951865562412422","0.20994126394949852","0.01891870524031583","0.04651530501807793","0","0.15119921970551553","0.11452075514337468","0.10282128558861564","","",""
"optuna_stage3_trial_0001","finished","-","","","2026-03-13T12:47:39.000Z","4512","","","4","","2.5919641029876854","0.00006829352954261399","0.8609901026988318","7600","stage3_roi","","0.0000687491841689458","1.86668360234047","","1.4996969788547254","","","","386","0.17617821027852887","317","0.28100948788550334","0.6049307638099946","0.6476916249037943","0.7364361649344031","1642","1176","","0.10328760600545447","3","","0.5789768866025843","0.3087476658287924","0.20407205426949077","0.019578847704561662","0.046578318798550754","0","0.1514402926175958","0.1148938369757596","0.10285831846889618","","",""
"optuna_stage3_trial_0000","finished","-","","","2026-03-13T11:32:21.000Z","4517","","","4","","2.5919641029876854","0.00006829352954261399","0.8609901026988318","9735","stage3_roi","","0.0000687491841689458","0.5163451435552239","","1.5842864269021","","","","317","0.23637438866129945","317","0.28100948788550334","0.6049307638099946","0.6476916249037943","0.7364361649344031","1642","1176","","0.10317726788257024","3","","0.36635608341638","0.08648939492111095","0.2144781269400846","0.018939568323756248","0.04644899339134281","0","0.15254302133786465","0.114785417575896","0.10291462927208204","","",""
"optuna_stage2_trial_0002","finished","-","","","2026-03-13T04:38:06.000Z","4637","","","4","","2.5919641029876854","0.00006829352954261399","0.8609901026988318","8360","stage2_rpn","","0.0000687491841689458","","","","","","","","","162","0.00575114281092981","0.5764172409337642","0.7440949328692805","0.719491300272977","1996","2694","","0.1032087340807791","3","","0.4825256857853383","0.23934182722773403","0.1775012955609709","0.01921561413069139","0.046466948626577506","0","0.15286543151516105","0.11527667327082557","0.1032087340807791","","",""
"optuna_stage2_trial_0001","finished","-","","","2026-03-13T03:23:24.000Z","4481","","","4","","2.5919641029876854","0.00006829352954261399","0.8609901026988318","30","stage2_rpn","","0.0000687491841689458","","","","","","","","","317","0.28100948788550334","0.6049307638099946","0.6476916249037943","0.7364361649344031","1642","1176","","0.10324857817183744","3","","0.3675782358511351","0.16605636833666357","0.13591652210999747","0.019232662645377787","0.046372682783185154","0","0.15110160358838787","0.114435851808782","0.10258526698613284","","",""
